Cost Matl Unit,Cost Total Unit
253.40066,269.9002
253.38306,268.9698
253.27411,271.07089
253.25651,270.14049
243.22134,550.99621
243.22134,550.7497
243.22134,550.5403
211.09066,225.92915
211.07306,225.08865
211.07306,224.89159
210.51078,241.42636
207.02308,218.24427
206.7202,217.12405
199.08264,361.78731
197.17138,395.05199
196.35822,207.33131
195.19294,206.39427
186.4497,205.44533
186.4497,204.36367
186.4497,203.49969
186.44032,200.99623
186.44032,200.17741
186.44032,199.31343
186.2538,203.30379
186.24442,199.11753
186.23714,205.07494
186.23714,202.47185
186.23714,202.0554
186.23714,200.86767
186.22054,204.20534
186.22054,201.64325
186.22054,201.2268
186.22054,200.03907
186.10481,205.10044
186.10481,205.10024
186.09664,200.65255
176.47121,196.73566
176.46332,191.9962
175.9862,196.25065
175.97831,191.51119
175.59419,194.06371
175.59419,193.08035
175.58602,189.75732
175.58602,188.77396
175.457,193.01124
175.45699,193.26978
175.413,192.16274
175.41299,192.42128
175.41299,190.51372
175.41295,191.31818
175.37515,192.15518
175.37515,191.81682
175.36895,190.91213
175.36895,190.80804
175.36895,190.46968
175.30411,192.76135
175.27614,195.49306
175.27614,194.11394
175.27614,194.08685
175.27614,192.40537
175.26054,194.71969
175.26054,194.62446
175.26054,193.24534
175.26054,193.21825
175.26054,191.61487
175.26011,192.00985
175.23171,198.37021
175.23171,198.13113
175.23171,198.07796
175.23171,198.03235
175.23171,197.04683
175.22551,193.63748
175.22551,193.3984
175.22551,193.34523
175.22551,193.29962
175.22551,192.60111
175.18416,193.24317
175.18416,191.91643
175.17796,192.04788
175.17796,190.72114
175.16214,197.71901
175.16214,196.97726
175.15397,193.27132
175.15397,192.52957
175.10128,193.08292
175.10128,190.87259
175.09508,191.88763
175.09508,189.6773
174.90764,192.36488
174.90764,192.03687
174.9016,193.00494
174.9016,192.00312
174.8954,191.80965
174.8954,190.80783
174.87964,191.62938
174.87964,191.23397
174.81611,197.66236
174.81611,190.58742
174.80991,192.92963
174.80991,189.39213
173.6663,190.41604
168.14298,189.28476
168.13547,184.25544
168.13547,184.25366
165.2325,249.29088
164.61341,345.78309
164.21332,243.66295
164.21332,237.54355
162.63646,249.41713
160.81294,170.88779
160.81294,170.74789
147.7891,161.4674
147.7891,160.88133
147.7891,160.87096
147.77972,159.08577
147.77972,158.32552
147.77972,157.73945
147.77972,157.72908
147.5932,160.67506
147.592,157.54136
147.58382,157.53318
147.49631,158.80236
141.65078,154.90596
141.54686,154.80204
141.47023,158.21224
141.46511,155.516
141.46511,154.72029
141.46403,154.7793
141.46403,154.6587
141.46403,154.60552
141.34409,153.89177
141.34409,152.09633
141.34409,151.27904
141.32655,155.18231
141.32655,155.16633
141.32655,154.18411
141.32655,153.87423
141.32655,153.01099
141.3132,154.39506
141.312,151.26136
141.30382,151.25318
141.22677,156.45341
141.21888,152.89702
141.18891,153.12254
141.18891,152.87335
141.10875,153.04238
141.10874,152.7765
141.10874,151.46794
141.06017,154.94103
141.06017,154.46727
141.05463,157.74346
141.05463,157.38165
141.052,151.70936
141.052,151.2356
141.04843,154.18992
141.04843,153.82811
141.04843,151.47001
141.00328,153.41371
141.00021,152.93384
140.99708,153.51451
140.99708,152.92793
140.99708,152.21827
140.99708,152.04491
140.99708,151.41866
140.85367,151.9015
140.85367,151.87182
140.8242,151.84235
140.6942,151.09805
140.6942,151.0534
138.00023,153.9025
137.99272,150.12032
124.95742,136.19697
123.32375,133.75363
107.49952,299.71203
103.4292,110.15016
101.49375,110.87672
101.49375,110.7472
101.25,101.25
100.89098,113.96936
100.89098,113.47831
100.89098,113.46794
100.8816,111.41425
100.8816,110.82748
100.8816,110.33643
100.8816,110.32606
100.69508,113.27204
100.6857,110.13016
100.66478,114.52493
100.65661,111.18926
