Part Piece Count,Cost Total Unit
40,110.15016
27,758.66348
24,550.99621
24,550.7497
24,550.5403
18,395.05199
18,361.78731
6,345.78309
6,299.71203
5,74.12638
5,71.49831
5,71.21089
5,70.46561
5,69.73851
5,69.07974
5,69.02474
5,66.27961
5,65.99865
5,65.78053
5,64.84229
5,63.89372
5,63.65447
5,63.58255
5,60.72598
5,59.66818
5,59.22794
5,59.15124
5,58.9982
5,58.7112
5,58.64038
5,57.87559
5,57.64875
5,57.5014
5,55.74711
5,55.09176
5,54.67311
5,52.53417
5,49.78826
2,0.82134
2,0.3724
2,0.36103
2,0.34113
1,762.86591
1,762.01451
1,271.07089
1,270.14049
1,269.9002
1,268.9698
1,249.41713
1,249.29088
1,243.66295
1,241.42636
1,237.54355
1,225.92915
1,225.08865
1,224.89159
1,218.24427
1,217.12405
1,207.33131
1,206.39427
1,205.44533
1,205.10044
1,205.10024
1,205.07494
1,204.36367
1,204.20534
1,203.49969
1,203.30379
1,202.47185
1,202.0554
1,201.64325
1,201.2268
1,200.99623
1,200.86767
1,200.65255
1,200.17741
1,200.03907
1,199.31343
1,199.11753
1,198.37021
1,198.13113
1,198.07796
1,198.03235
1,197.71901
1,197.66236
1,197.04683
1,196.97726
1,196.73566
1,196.25065
1,195.49306
1,194.71969
1,194.62446
1,194.11394
1,194.08685
1,194.06371
1,193.63748
1,193.3984
1,193.34523
1,193.29962
1,193.27132
1,193.26978
1,193.24534
1,193.24317
1,193.21825
1,193.08292
1,193.08035
1,193.01124
1,193.00494
1,192.92963
1,192.76135
1,192.60111
1,192.52957
1,192.42128
1,192.40537
1,192.36488
1,192.16274
1,192.15518
1,192.04788
1,192.03687
1,192.00985
1,192.00312
1,191.9962
1,191.91643
1,191.88763
1,191.81682
1,191.80965
1,191.62938
1,191.61487
1,191.51119
1,191.31818
1,191.23397
1,190.91213
1,190.87259
1,190.80804
1,190.80783
1,190.72114
1,190.58742
1,190.51372
1,190.46968
1,190.41604
1,189.75732
1,189.6773
1,189.39213
1,189.28476
1,188.77396
1,184.25544
1,184.25366
1,182.705
1,182.704
1,182.70333
1,182.703
1,182.70286
1,182.70273
1,182.7025
1,182.7
1,170.88779
1,170.74789
1,161.4674
1,160.88133
1,160.87096
1,160.67506
1,159.08577
1,158.80236
1,158.32552
1,158.21224
1,157.74346
1,157.73945
1,157.72908
1,157.54136
1,157.53318
1,157.38165
1,156.45341
1,155.516
1,155.18231
1,155.16633
1,154.94103
1,154.90596
1,154.80204
1,154.7793
1,154.72029
1,154.6587
1,154.60552
1,154.46727
1,154.39506
1,154.18992
1,154.18411
1,153.9025
1,153.89177
1,153.87423
1,153.82811
1,153.51451
1,153.41371
1,153.12254
1,153.04238
1,153.01099
1,152.93384
1,152.92793
1,152.89702
1,152.87335
1,152.7765
1,152.21827
1,152.09633
1,152.04491
1,151.9015
1,151.87182
1,151.84235
1,151.70936
1,151.47001
1,151.46794
1,151.41866
1,151.27904
1,151.26136
1,151.25318
1,151.2356
1,151.09805
1,151.0534
1,150.62
1,150.6175
1,150.617
1,150.61667
1,150.616
1,150.615
1,150.12032
1,145.84706
1,142.26413
1,136.88627
1,136.4485
1,136.19697
1,136.05418
1,135.911
1,135.64435
1,134.18082
1,133.82314
1,133.78254
1,133.76937
1,133.75363
1,133.70099
1,133.12224
1,133.1217
1,133.05954
1,132.75452
1,132.68358
1,132.61585
1,132.41754
1,131.15293
1,130.25024
1,129.5812
1,129.31337
1,128.10747
1,127.53
1,127.5275
1,127.52667
1,127.525
1,127.11554
1,126.98243
1,126.97992
1,126.75317
1,126.70008
1,126.05776
1,125.96681
1,124.98568
1,124.87034
1,124.33336
1,123.77313
1,123.75944
1,123.60423
1,123.40256
1,122.73553
1,122.695
1,122.48233
1,122.48139
1,122.23512
1,122.11466
1,121.91988
1,121.90336
1,121.88772
1,121.79778
1,121.63114
1,121.45455
1,121.05524
1,121.02482
1,120.90539
1,120.65652
1,120.58851
1,120.35108
1,120.24
1,120.16738
1,120.13421
1,120.02851
1,119.89233
1,119.70181
1,119.50991
1,119.34447
1,119.03466
1,118.99953
1,118.95387
1,118.83429
1,118.71778
1,118.65851
1,118.36116
1,118.08965
1,117.95003
1,117.82477
1,117.70971
1,117.40387
1,117.38706
1,117.36627
1,117.33503
1,117.29986
1,117.0626
1,117.05681
1,116.76387
1,116.75387
1,116.587
1,116.40046
1,116.31849
1,116.18496
1,116.07648
1,116.01115
1,115.83898
1,115.78047
1,115.68164
1,115.66157
1,115.6022
1,115.59538
1,115.24489
1,115.24408
1,115.14108
1,115.13072
1,114.94715
1,114.72696
1,114.71777
1,114.65839
1,114.58515
1,114.52493
1,114.4369
1,114.41924
1,114.15691
1,114.15555
1,114.07936
1,113.96936
1,113.53047
1,113.52937
1,113.47831
1,113.46794
1,113.3752
1,113.27204
1,113.26468
1,113.18671
1,113.18
1,113.178
1,113.05736
1,112.98261
1,112.87821
1,112.87037
1,112.86352
1,112.78537
1,112.7579
1,112.67556
1,112.67441
1,112.65627
1,112.62557
1,112.6234
1,112.56052
1,112.33387
1,112.1763
1,112.05364
1,112.01
1,112.00917
1,112.009
1,112.008
1,111.77019
1,111.69091
1,111.42
1,111.41425
1,111.29108
1,111.18926
1,110.99736
1,110.87672
1,110.85718
1,110.82748
1,110.7472
1,110.49431
1,110.33643
1,110.32606
1,110.30555
1,110.2553
1,110.24991
1,110.13016
1,110.04337
1,109.98872
1,109.79291
1,109.68746
1,109.6832
1,109.6755
1,109.37986
1,109.3597
1,109.15962
1,109.13507
1,108.92935
1,108.84359
1,108.78646
1,108.7653
1,108.74611
1,108.71941
1,108.67513
1,108.66135
1,108.64285
1,108.48134
1,108.43759
1,108.4091
1,108.36499
1,108.21148
1,108.10583
1,108.05681
1,108.02341
1,107.98824
1,107.969
1,107.96558
1,107.93219
1,107.87792
1,107.85125
1,107.85044
1,107.8245
1,107.73475
1,107.71924
1,107.68639
1,107.6589
1,107.61296
1,107.5246
1,107.50916
1,107.48453
1,107.4763
1,107.47341
1,107.45664
1,107.44869
1,107.32459
1,107.30364
1,107.26142
1,107.25746
1,107.1694
1,107.1443
1,106.98351
1,106.88271
1,106.8826
1,106.76482
1,106.73941
1,106.69743
1,106.65431
1,106.60639
1,106.58913
1,106.5698
1,106.52761
1,106.44828
1,106.42471
1,106.4079
1,106.38235
1,106.35926
1,106.32906
1,106.27797
1,106.25858
1,106.23108
1,106.17567
1,106.14098
1,106.07297
1,106.03803
1,106.02139
1,105.96736
1,105.9368
1,105.88973
1,105.77673
1,105.7755
1,105.72055
1,105.69624
1,105.68727
1,105.66353
1,105.53899
1,105.51392
1,105.5095
1,105.40646
1,105.37699
1,105.3657
1,105.2617
1,105.24073
1,105.22566
1,105.2184
1,105.18246
1,105.17375
1,105.03689
1,104.99243
1,104.96903
1,104.94554
1,104.93612
1,104.77385
1,104.7316
1,104.70921
1,104.66775
1,104.59854
1,104.18151
1,104.16728
1,104.14391
1,104.01244
1,103.9536
1,103.73027
1,103.7235
1,103.69711
1,103.66151
1,103.61814
1,103.57855
1,103.50475
1,103.4799
1,103.33011
1,103.30828
1,103.29251
1,103.26023
1,103.12529
1,103.10113
1,103.09623
1,103.00296
1,102.82082
1,102.81082
1,102.81011
1,102.80801
1,102.72778
1,102.68917
1,102.67183
1,102.60677
1,102.28605
1,102.05301
1,102.05095
1,101.77724
1,101.76516
1,101.75056
1,101.70616
1,101.60005
1,101.58505
1,101.51022
1,101.41353
1,101.35333
1,101.35243
1,101.34866
1,101.25
1,101.21949
1,101.20259
1,101.19525
1,101.0937
1,100.94304
1,100.89087
1,100.77961
1,100.77473
1,100.66643
1,100.56886
1,100.54931
1,100.48028
1,100.45673
1,100.45306
1,100.38531
1,100.34018
1,100.31253
1,100.22187
1,100.18671
1,100.18023
1,99.98741
1,99.93237
1,99.89247
1,99.87696
1,99.72677
1,99.51377
1,99.47872
1,99.47161
1,99.37993
1,99.35569
1,99.27277
1,99.17269
1,99.05688
1,99.01261
1,98.95747
1,98.91839
1,98.86069
1,98.72563
1,98.66263
1,98.55467
1,98.54204
1,98.48966
1,98.3261
1,98.27417
1,98.26926
1,98.22108
1,98.09584
1,98.08866
1,98.04843
1,98.01013
1,97.95468
1,97.8508
1,97.35302
1,97.31441
1,97.14187
1,97.11464
1,96.9997
1,96.99721
1,96.94201
1,96.93041
1,96.90034
1,96.88163
1,96.87042
1,96.86547
1,96.83823
1,96.79618
1,96.67461
1,96.61893
1,96.49787
1,96.48745
1,96.44992
1,96.42413
1,96.37818
1,96.23415
1,96.16013
1,96.13941
1,96.0943
1,95.96421
1,95.96234
1,95.89076
1,95.82521
1,95.81806
1,95.50026
1,95.49587
1,95.4702
1,95.45312
1,95.43755
1,95.43261
1,95.43096
1,95.42416
1,95.40181
1,95.40016
1,95.3991
1,95.29213
1,95.20131
1,95.0802
1,95.07839
1,94.99418
1,94.98833
1,94.94757
1,94.94425
1,94.83797
1,94.70213
1,94.64464
1,94.51622
1,94.50621
1,94.50485
1,94.39375
1,94.37983
1,94.17987
1,94.06041
1,94.0533
1,93.94737
1,93.84344
1,93.80439
1,93.24668
1,93.14787
1,93.13091
1,93.10755
1,93.08458
1,92.99416
1,92.97188
1,92.90019
1,92.87308
1,92.80627
1,92.80513
1,92.71323
1,92.69026
1,92.67868
1,92.61947
1,92.56466
1,92.51894
1,92.44716
1,92.40339
1,92.34294
1,92.26441
1,92.22038
1,92.17195
1,92.13058
1,92.06317
1,91.99
1,91.98667
1,91.98571
1,91.985
1,91.94413
1,91.92887
1,91.86902
1,91.81934
1,91.80391
1,91.74018
1,91.61832
1,91.61536
1,91.55121
1,91.50995
1,91.42503
1,91.34322
1,91.15501
1,91.11193
1,91.09013
1,91.00377
1,91.00376
1,90.67755
1,90.57544
1,90.45767
1,90.40885
1,90.39042
1,90.28323
1,90.25466
1,90.2089
1,90.20724
1,90.16872
1,90.11089
1,90.03616
1,90.02127
1,90.0062
1,89.88514
1,89.8657
1,89.79038
